n,k,time_ms,B
64,2,0.24,0
64,10,0.75,0
64,50,0.54,0
64,16,0.27,0
64,32,0.48,0
64,64,0.37,0
256,2,0.26,0
256,10,0.28,0
256,50,0.51,0
256,100,0.91,0
256,64,0.63,0
256,128,1.17,0
256,256,2.19,0
1024,2,0.28,0
1024,10,0.33,0
1024,50,1.29,0
1024,100,3.21,0
1024,256,11.89,0
1024,512,28.59,0
1024,1024,61.10,0
4096,2,12.06,2
4096,10,12.08,8
4096,50,17.84,32
4096,100,15.31,64
4096,1024,31.27,64
4096,2048,39.31,64
4096,4096,40.04,64
16384,2,17.11,2
16384,10,15.22,8
16384,50,22.18,32
16384,100,18.37,64
16384,4096,60.78,128
16384,8192,67.00,128
16384,16384,80.41,128
65536,2,29.85,2
65536,10,22.43,8
65536,50,29.44,32
65536,100,23.21,64
65536,16384,154.76,256
65536,32768,123.58,256
65536,65536,124.83,256
262144,2,79.54,2
262144,10,46.17,8
262144,50,49.34,32
262144,100,46.14,64
262144,65536,196.31,256
262144,131072,208.37,256
262144,262144,212.78,256
1048576,2,274.38,2
1048576,10,137.22,8
1048576,50,121.62,32
1048576,100,128.88,64
1048576,262144,567.27,256
1048576,524288,589.67,256
1048576,1048576,610.11,256
