n,Q,distribution,kernel_ms,error,prob_MB
64,128,adversarial,0.1260,3.761543e-05,0.0
64,128,reverse_adv,0.1219,3.467213e-05,0.0
64,128,bimodal,0.1249,1.302276e-05,0.0
64,128,geometric,0.1219,5.551704e-05,0.0
64,128,uniform,0.1239,8.406083e-14,0.0
64,192,adversarial,0.1505,1.458277e-07,0.0
64,192,reverse_adv,0.1475,4.411377e-08,0.0
64,192,bimodal,0.1495,1.112240e-07,0.0
64,192,geometric,0.1475,1.346954e-07,0.0
64,192,uniform,0.1485,8.130208e-14,0.0
64,256,adversarial,0.1587,1.279445e-10,0.0
64,256,reverse_adv,0.1505,4.286539e-10,0.0
64,256,bimodal,0.1546,6.141360e-11,0.0
64,256,geometric,0.1505,2.015037e-10,0.0
64,256,uniform,0.1587,7.959933e-14,0.0
256,128,adversarial,0.6103,3.761543e-05,0.5
256,128,reverse_adv,0.6052,3.814280e-05,0.5
256,128,bimodal,0.5970,1.223151e-05,0.5
256,128,geometric,0.5827,5.808760e-05,0.5
256,128,uniform,0.6011,7.340322e-14,0.5
256,192,adversarial,1.3599,1.458277e-07,0.5
256,192,reverse_adv,1.3343,3.923028e-08,0.5
256,192,bimodal,1.1663,1.101106e-07,0.5
256,192,geometric,1.1459,1.344686e-07,0.5
256,192,uniform,1.3517,6.934331e-14,0.5
256,256,adversarial,1.4049,1.279427e-10,0.5
256,256,reverse_adv,1.3414,4.553779e-10,0.5
256,256,bimodal,1.1889,6.750739e-11,0.5
256,256,geometric,1.2749,2.022843e-10,0.5
256,256,uniform,1.3189,6.899297e-14,0.5
512,128,adversarial,2.5754,3.761543e-05,2.1
512,128,reverse_adv,2.5149,3.873700e-05,2.1
512,128,bimodal,2.1228,1.209843e-05,2.1
512,128,geometric,2.4689,5.987809e-05,2.1
512,128,uniform,2.5436,1.572552e-12,2.1
512,192,adversarial,3.9762,1.458277e-07,2.1
512,192,reverse_adv,3.9209,3.839419e-08,2.1
512,192,bimodal,3.9404,1.099234e-07,2.1
512,192,geometric,3.9158,1.343977e-07,2.1
512,192,uniform,3.7478,5.457811e-14,2.1
512,256,adversarial,4.0776,1.279402e-10,2.1
512,256,reverse_adv,3.9301,4.599557e-10,2.1
512,256,bimodal,4.0018,6.853779e-11,2.1
512,256,geometric,3.9711,2.304085e-10,2.1
512,256,uniform,3.9741,5.223859e-14,2.1
1024,128,adversarial,7.5930,3.761543e-05,8.4
1024,128,reverse_adv,7.4353,3.903583e-05,8.4
1024,128,bimodal,7.5069,1.203176e-05,8.4
1024,128,geometric,7.4291,5.986155e-05,8.4
1024,128,uniform,7.4988,1.617736e-12,8.4
1024,192,adversarial,13.0437,1.458277e-07,8.4
1024,192,reverse_adv,12.9004,3.797371e-08,8.4
1024,192,bimodal,12.9536,1.098296e-07,8.4
1024,192,geometric,12.8635,1.343590e-07,8.4
1024,192,uniform,12.3873,5.181766e-14,8.4
1024,256,adversarial,13.3233,1.279362e-10,8.4
1024,256,reverse_adv,12.9270,4.622613e-10,8.4
1024,256,bimodal,13.1133,6.905665e-11,8.4
1024,256,geometric,13.0058,2.301325e-10,8.4
1024,256,uniform,13.0662,5.364050e-14,8.4
2048,128,adversarial,25.2416,3.761543e-05,33.6
2048,128,reverse_adv,24.7777,3.918569e-05,33.6
2048,128,bimodal,24.9969,1.199840e-05,33.6
2048,128,geometric,24.7368,5.993474e-05,33.6
2048,128,uniform,24.9672,1.856650e-12,33.6
2048,192,adversarial,51.6106,1.458277e-07,33.6
2048,192,reverse_adv,51.1048,3.776285e-08,33.6
2048,192,bimodal,51.3659,1.097826e-07,33.6
2048,192,geometric,50.9450,1.343389e-07,33.6
2048,192,uniform,48.5970,5.638450e-14,33.6
2048,256,adversarial,52.4073,1.279401e-10,33.6
2048,256,reverse_adv,51.2645,4.634244e-10,33.6
2048,256,bimodal,51.8236,6.932492e-11,33.6
2048,256,geometric,51.3188,2.318429e-10,33.6
2048,256,uniform,51.3792,5.545362e-14,33.6
