n,distribution,kernel_ms,error
32,adversarial,0.0840,1.279458e-10
32,reverse_adv,0.0788,3.948561e-10
32,bimodal,0.0829,5.343528e-11
32,geometric,0.0799,1.364211e-10
32,uniform,0.0829,7.722075e-14
64,adversarial,0.1587,1.279445e-10
64,reverse_adv,0.1516,4.286539e-10
64,bimodal,0.1546,6.141360e-11
64,geometric,0.1516,2.015037e-10
64,uniform,0.1587,7.959933e-14
128,adversarial,0.3994,1.279472e-10
128,reverse_adv,0.3758,4.463321e-10
128,bimodal,0.3820,6.546654e-11
128,geometric,0.3768,2.023807e-10
128,uniform,0.3994,7.979518e-14
256,adversarial,1.4039,1.279427e-10
256,reverse_adv,1.3425,4.553779e-10
256,bimodal,1.1878,6.750739e-11
256,geometric,1.2677,2.022843e-10
256,uniform,1.3302,6.899297e-14
512,adversarial,4.0827,1.279402e-10
512,reverse_adv,3.9363,4.599557e-10
512,bimodal,4.0028,6.853779e-11
512,geometric,3.9700,2.304085e-10
512,uniform,3.9823,5.223859e-14
768,adversarial,8.0589,1.279368e-10
768,reverse_adv,7.7947,4.614903e-10
768,bimodal,7.9309,6.888496e-11
768,geometric,7.8561,2.312904e-10
768,uniform,7.8776,5.317326e-14
1024,adversarial,13.3335,1.279362e-10
1024,reverse_adv,12.9382,4.622613e-10
1024,bimodal,13.1215,6.905665e-11
1024,geometric,13.0079,2.301325e-10
1024,uniform,13.0755,5.364050e-14
1536,adversarial,31.1921,1.279387e-10
1536,reverse_adv,30.3585,4.630314e-10
1536,bimodal,30.7743,6.923464e-11
1536,geometric,30.3718,2.311513e-10
1536,uniform,30.2602,5.320920e-14
2048,adversarial,52.4390,1.279401e-10
2048,reverse_adv,51.2922,4.634244e-10
2048,bimodal,51.8523,6.932492e-11
2048,geometric,51.3352,2.318429e-10
2048,uniform,51.4202,5.545362e-14
3072,adversarial,117.6095,1.279402e-10
3072,reverse_adv,114.9706,4.638174e-10
3072,bimodal,116.1759,6.941917e-11
3072,geometric,114.8437,2.318602e-10
3072,uniform,114.2927,5.980550e-14
4096,adversarial,202.9947,1.279381e-10
4096,reverse_adv,200.2555,4.640176e-10
4096,bimodal,201.2979,6.947074e-11
4096,geometric,199.5162,2.317880e-10
4096,uniform,200.4449,5.816113e-14
