n,k,auto_B,auto_ms,best_B,best_ms,match
65536,16384,128,7.416064,64,7.225687,0
65536,32768,128,8.240274,64,8.193557,0
65536,65536,128,8.897105,64,8.845628,0
131072,32768,128,16.868263,64,16.745451,0
131072,65536,128,19.103556,64,18.980938,0
131072,131072,128,21.620021,64,21.468918,0
262144,65536,128,39.496418,64,39.230429,0
262144,131072,128,46.572810,64,46.253302,0
262144,262144,128,49.494739,64,49.257983,0
524288,131072,128,96.068695,64,95.655839,0
524288,262144,128,106.360728,64,105.976965,0
524288,524288,128,111.909779,64,111.379062,0
