regime,na,wrap_m,fft_n,fma_count,median_ns_per_call
SMALL_2048,2048,4,4090,15,9.21225
SMALL_2048,2048,8,4086,45,19.90725
SMALL_2048,2048,16,4078,153,49.05200
SMALL_2048,2048,32,4062,561,151.65225
SMALL_2048,2048,64,4030,2145,577.97225
SMALL_2048,2048,96,3998,4753,1422.80275
SMALL_2048,2048,128,3966,8385,2762.97775
SMALL_2048,2048,192,3902,18721,6694.45850
SMALL_2048,2048,256,3838,33153,12871.98700
SMALL_2048,2048,384,3710,74305,31957.80325
SMALL_2048,2048,512,3582,131841,60014.18700
SMALL_2048,2048,768,3326,296065,143184.23125
SMALL_2048,2048,1024,3070,525825,262561.44350
SMALL_2048,2048,1536,2558,1181953,609698.44000
SMALL_2048,2048,2048,2046,2100223,1101626.78975
MED_8192,8192,4,16378,15,9.20475
MED_8192,8192,8,16374,45,19.54175
MED_8192,8192,16,16366,153,51.23125
MED_8192,8192,32,16350,561,157.39525
MED_8192,8192,64,16318,2145,611.96350
MED_8192,8192,96,16286,4753,1499.52425
MED_8192,8192,128,16254,8385,2752.03975
MED_8192,8192,192,16190,18721,6693.41675
MED_8192,8192,256,16126,33153,12882.35150
MED_8192,8192,384,15998,74305,31952.93175
MED_8192,8192,512,15870,131841,60020.18375
MED_8192,8192,768,15614,296065,143243.45325
MED_8192,8192,1024,15358,525825,262746.99350
MED_8192,8192,1536,14846,1181953,609184.29925
MED_8192,8192,2048,14334,2100225,1101788.41900
LARGE_32768,32768,4,65530,15,12.13275
LARGE_32768,32768,8,65526,45,21.99875
LARGE_32768,32768,16,65518,153,54.36950
LARGE_32768,32768,32,65502,561,158.48500
LARGE_32768,32768,64,65470,2145,614.79125
LARGE_32768,32768,96,65438,4753,1509.37775
LARGE_32768,32768,128,65406,8385,2749.92100
LARGE_32768,32768,192,65342,18721,6704.14425
LARGE_32768,32768,256,65278,33153,12876.57850
LARGE_32768,32768,384,65150,74305,31956.94950
LARGE_32768,32768,512,65022,131841,60019.27225
LARGE_32768,32768,768,64766,296065,143320.13050
LARGE_32768,32768,1024,64510,525825,262831.81925
LARGE_32768,32768,1536,63998,1181953,609588.07275
LARGE_32768,32768,2048,63486,2100225,1101687.54650
